PID,area,price,Street,Alley,Lot.Shape,Land.Contour,Utilities,Lot.Config,Land.Slope,Neighborhood,Year.Built,Foundation,Heating,Electrical
526301100,1656,215000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1960,CBlock,GasA,SBrkr
526350040,896,105000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1961,CBlock,GasA,SBrkr
526351010,1329,172000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,1958,CBlock,GasA,SBrkr
526353030,2110,244000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1968,CBlock,GasA,SBrkr
527105010,1629,189900,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,1997,PConc,GasA,SBrkr
527105030,1604,195500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,1998,PConc,GasA,SBrkr
527127150,1338,213500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,2001,PConc,GasA,SBrkr
527145080,1280,191500,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,StoneBr,1992,PConc,GasA,SBrkr
527146030,1616,236500,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,1995,PConc,GasA,SBrkr
527162130,1804,189000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,1999,PConc,GasA,SBrkr
527163010,1655,175900,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,1993,PConc,GasA,SBrkr
527165230,1187,185000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,1992,PConc,GasA,SBrkr
527166040,1465,180400,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,1998,PConc,GasA,SBrkr
527180040,1341,171500,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,1990,PConc,GasA,SBrkr
527182190,1502,212000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,1985,PConc,GasA,SBrkr
527216070,3279,538000,Pave,NA,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,2003,PConc,GasA,SBrkr
527225035,1752,164000,Pave,NA,IR1,Bnk,AllPub,Inside,Mod,Gilbert,1988,Wood,GasA,SBrkr
527258010,1856,394432,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,2010,PConc,GasA,SBrkr
527276150,864,141000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,1951,CBlock,GasA,SBrkr
527302110,2073,210000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,1978,CBlock,GasA,SBrkr
527358140,1844,190000,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,1977,CBlock,GasA,SBrkr
527358200,1173,170000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,1974,CBlock,GasA,SBrkr
527368020,1674,216000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,2000,PConc,GasA,SBrkr
527402200,1004,149000,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1970,CBlock,GasA,SBrkr
527402250,1078,149900,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,1971,CBlock,GasA,SBrkr
527403020,1056,142000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1968,CBlock,GasA,SBrkr
527404120,882,126000,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,1970,CBlock,GasA,SBrkr
527425090,864,115000,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,NAmes,1971,CBlock,GasA,SBrkr
