Name,Team,Group,Position,Games_Played,AB,R,H,Doubles,Triples,HR,RBI,Walks,Strike_Outs
"Allard, K",ATL,Battery,P,3,1,1,1,0,0,0,0,0,0
"Gibson, K",MIN,Battery,P,1,2,2,2,0,0,0,0,0,0
"Law, D",SF,Battery,P,7,1,1,1,0,0,0,0,0,0
"Nuno, V",TB,Battery,P,1,2,0,2,0,0,0,1,0,0
"Romero, E",KC,Battery,P,4,1,1,1,1,0,0,0,0,0
"Rosario, R",CHC,Battery,P,43,1,1,1,0,0,0,1,1,0
"Sobotka, C",ATL,Battery,P,14,1,0,1,0,0,0,0,0,0
"Jennings, D",MIL,Battery,P,65,3,1,2,1,0,0,0,0,1
"Lavarnway, R",PIT,Battery,C,6,6,1,4,1,0,0,1,0,1
"Bergman, C",SEA,Battery,P,1,2,0,1,0,0,0,1,0,0
"Biddle, J",ATL,Battery,P,56,2,0,1,1,0,0,1,0,0
"Blevins, J",NYM,Battery,P,60,2,0,1,0,0,0,1,0,1
"Elias, R",SEA,Battery,P,3,2,0,1,0,0,0,0,0,1
"Garneau, D",CWS,Battery,C,1,2,0,1,0,0,0,1,1,0
"Hader, J",MIL,Battery,P,52,2,1,1,0,0,0,0,0,1
"Kennedy, I",KC,Battery,P,1,2,0,1,0,0,0,0,0,0
"Lopez, J",KC,Battery,P,10,2,1,1,1,0,0,2,0,1
"Rusin, C",COL,Battery,P,45,4,0,2,0,0,0,0,0,1
"Santana, D",LAD,Battery,P,2,2,0,1,1,0,0,2,0,1
"Vincej, Z",SEA,Infield,SS,1,4,0,2,0,0,0,1,0,1
"Porcello, R",BOS,Battery,P,3,7,1,3,2,0,0,3,0,3
"Davis, T",CHC,Battery,C,5,5,0,2,0,0,0,2,0,1
"Zagunis, M",CHC,Outfield,RF,5,5,0,2,1,0,0,1,1,1
"Jones, R",SF,Infield,3B,5,8,2,3,0,0,2,3,0,5
"Astudillo, W",MIN,Battery,C,29,93,9,33,4,1,3,21,2,3
"Betts, M",BOS,Outfield,RF,136,520,129,180,47,5,32,80,81,91
"Lagares, J",NYM,Outfield,CF,30,59,9,20,1,1,0,6,3,9
"Brigham, J",MIA,Battery,P,4,3,1,1,0,0,0,0,0,1
"Cole, A",NYY,Battery,P,6,3,1,1,0,0,1,1,0,1
"Conlon, P",NYM,Battery,P,3,3,1,1,0,0,0,0,0,0
"Gaviglio, S",TOR,Battery,P,2,3,0,1,1,0,0,0,0,1
"Grace, M",WSH,Battery,P,54,3,0,1,0,0,0,0,0,0
"Happ, J",NYY,Battery,P,2,6,2,2,0,0,0,0,1,3
"Kang, J",PIT,Infield,3B,3,6,0,2,0,0,0,0,0,1
"Keller, B",KC,Battery,P,3,3,1,1,0,0,0,0,0,1
