date,year,season,month,day,holiday,workday,weather,celsius_actual,celsius_feelslike,humidity,windspeed,num_riders
2011-01-01,2011,Winter,1,Saturday,FALSE,FALSE,Cloudy,14.110847,18.18125,80.5833,10.749882,985
2011-01-02,2011,Winter,1,Sunday,FALSE,FALSE,Cloudy,14.902598,17.68695,69.6087,16.652113,801
2011-01-03,2011,Winter,1,Monday,FALSE,TRUE,Clear,8.050924,9.47025,43.7273,16.636703,1349
2011-01-04,2011,Winter,1,Tuesday,FALSE,TRUE,Clear,8.2,10.6061,59.0435,10.739832,1562
2011-01-05,2011,Winter,1,Wednesday,FALSE,TRUE,Clear,9.305237,11.4635,43.6957,12.5223,1600
2011-01-06,2011,Winter,1,Thursday,FALSE,TRUE,Clear,8.378268,11.66045,51.8261,6.0008684,1606
2011-01-07,2011,Winter,1,Friday,FALSE,TRUE,Cloudy,8.057402,10.44195,49.8696,11.304642,1510
2011-01-08,2011,Winter,1,Saturday,FALSE,FALSE,Cloudy,6.765,8.1127,53.5833,17.875868,959
2011-01-09,2011,Winter,1,Sunday,FALSE,FALSE,Clear,5.671653,5.80875,43.4167,24.25065,822
2011-01-10,2011,Winter,1,Monday,FALSE,TRUE,Clear,6.184153,7.5444,48.2917,14.958889,1321
2011-01-11,2011,Winter,1,Tuesday,FALSE,TRUE,Cloudy,6.932731,9.5732,68.6364,8.182844,1263
2011-01-12,2011,Winter,1,Wednesday,FALSE,TRUE,Clear,7.081807,8.02365,59.9545,20.410009,1162
2011-01-13,2011,Winter,1,Thursday,FALSE,TRUE,Clear,6.765,7.54415,47.0417,20.167,1406
2011-01-14,2011,Winter,1,Friday,FALSE,TRUE,Clear,6.59567,9.42065,53.7826,8.478716,1421
2011-01-15,2011,Winter,1,Saturday,FALSE,FALSE,Cloudy,9.566653,12.4056,49.875,10.583521,1248
2011-01-16,2011,Winter,1,Sunday,FALSE,FALSE,Clear,9.498347,11.71085,48.375,12.625011,1204
2011-01-17,2011,Winter,1,Monday,TRUE,FALSE,Cloudy,7.209153,8.83855,53.75,12.999139,1000
2011-01-18,2011,Winter,1,Tuesday,FALSE,TRUE,Cloudy,8.883347,11.61665,86.1667,9.833925,683
2011-01-19,2011,Winter,1,Wednesday,FALSE,TRUE,Cloudy,11.979134,14.9211,74.1739,13.957239,1650
2011-01-20,2011,Winter,1,Thursday,FALSE,TRUE,Cloudy,10.728347,12.7525,53.8333,13.125568,1927
2011-01-21,2011,Winter,1,Friday,FALSE,TRUE,Clear,7.2775,7.89165,45.7083,23.667214,1543
2011-01-22,2011,Winter,1,Saturday,FALSE,FALSE,Clear,2.4243464,3.95348,40,11.52199,981
2011-01-23,2011,Winter,1,Sunday,FALSE,FALSE,Clear,3.9573897,4.941955,43.6522,16.5222,986
2011-01-24,2011,Winter,1,Monday,FALSE,TRUE,Clear,3.9930433,5.8965,49.1739,10.60811,1416
2011-01-25,2011,Winter,1,Tuesday,FALSE,TRUE,Cloudy,9.162598,11.7263,61.6957,8.696332,1985
2011-01-26,2011,Winter,1,Wednesday,FALSE,TRUE,Light precip,8.9175,10.18,86.25,19.68795,506
2011-01-27,2011,Winter,1,Thursday,FALSE,TRUE,Clear,7.995,10.985,68.75,7.627079,431
2011-01-28,2011,Winter,1,Friday,FALSE,TRUE,Cloudy,8.342598,11.16585,79.3043,8.2611,1167
2011-01-29,2011,Winter,1,Saturday,FALSE,FALSE,Clear,8.057402,10.6063,65.1739,9.739455,1098
2011-01-30,2011,Winter,1,Sunday,FALSE,FALSE,Clear,8.877402,12.5161,72.2174,4.9568342,1096
2011-01-31,2011,Winter,1,Monday,FALSE,TRUE,Cloudy,7.414153,9.3125,60.375,12.541864,1501
2011-02-01,2011,Winter,2,Tuesday,FALSE,TRUE,Cloudy,7.879134,11.7265,82.9565,3.565271,1360
2011-02-02,2011,Winter,2,Wednesday,FALSE,TRUE,Cloudy,10.66,12.72085,77.5417,17.708636,1526
2011-02-03,2011,Winter,2,Thursday,FALSE,TRUE,Clear,7.665237,8.8939,43.7826,18.609384,1550
2011-02-04,2011,Winter,2,Friday,FALSE,TRUE,Cloudy,8.663464,11.42935,58.5217,8.565213,1708
2011-02-05,2011,Winter,2,Saturday,FALSE,FALSE,Cloudy,9.566653,12.1529,92.9167,10.792293,1005
2011-02-06,2011,Winter,2,Sunday,FALSE,FALSE,Clear,11.719153,14.58355,56.8333,9.5006,1623
2011-02-07,2011,Winter,2,Monday,FALSE,TRUE,Clear,11.138347,15.1829,73.8333,3.0423561,1712
2011-02-08,2011,Winter,2,Tuesday,FALSE,TRUE,Clear,9.054153,9.9123,53.7917,24.25065,1530
2011-02-09,2011,Winter,2,Wednesday,FALSE,TRUE,Cloudy,5.526103,7.21415,49.4783,12.652213,1605
2011-02-10,2011,Winter,2,Thursday,FALSE,TRUE,Clear,5.918268,7.4774,43.7391,14.869645,1538
2011-02-11,2011,Winter,2,Friday,FALSE,TRUE,Clear,7.752731,10.67545,50.6364,7.27285,1746
2011-02-12,2011,Winter,2,Saturday,FALSE,FALSE,Clear,9.1225,11.6477,54.4167,13.625589,1472
2011-02-13,2011,Winter,2,Sunday,FALSE,FALSE,Clear,12.977402,16.20565,45.7391,17.479161,1589
2011-02-14,2011,Winter,2,Monday,FALSE,TRUE,Clear,17.015,19.9175,37.5833,27.999836,1913
2011-02-15,2011,Winter,2,Tuesday,FALSE,TRUE,Clear,10.909567,12.7137,31.4348,19.522058,1815
2011-02-16,2011,Winter,2,Wednesday,FALSE,TRUE,Clear,13.048701,15.81,42.3478,16.869997,2115
2011-02-17,2011,Winter,2,Thursday,FALSE,TRUE,Clear,17.869153,21.4329,50.5,15.416968,2475
2011-02-18,2011,Winter,2,Friday,FALSE,TRUE,Clear,21.388347,25.59915,51.6667,17.749975,2927
2011-02-19,2011,Winter,2,Saturday,FALSE,FALSE,Clear,16.365847,19.5702,18.7917,34.000021,1635
2011-02-20,2011,Winter,2,Sunday,FALSE,FALSE,Clear,11.693897,13.8665,40.7826,14.956745,1812
2011-02-21,2011,Winter,2,Monday,TRUE,FALSE,Cloudy,12.436653,14.20375,60.5,20.625682,1107
2011-02-22,2011,Winter,2,Tuesday,FALSE,TRUE,Clear,7.471102,9.30165,57.7778,13.110761,1450
2011-02-23,2011,Winter,2,Wednesday,FALSE,TRUE,Clear,9.091299,12.28585,42.3043,6.305571,1917
2011-02-24,2011,Winter,2,Thursday,FALSE,TRUE,Cloudy,12.121732,14.45955,69.7391,16.783232,1807
2011-02-25,2011,Winter,2,Friday,FALSE,TRUE,Cloudy,14.938268,17.52305,71.2174,23.218113,1461
2011-02-26,2011,Winter,2,Saturday,FALSE,FALSE,Clear,11.5825,14.1096,53.7917,12.500257,1969
2011-02-27,2011,Winter,2,Sunday,FALSE,FALSE,Clear,14.082598,17.55545,68,8.391616,2402
2011-02-28,2011,Winter,2,Monday,FALSE,TRUE,Cloudy,16.698193,20.0059,87.6364,19.408962,1446
2011-03-01,2011,Winter,3,Tuesday,FALSE,TRUE,Clear,10.933347,13.19395,53.5,14.500475,1851
2011-03-02,2011,Winter,3,Wednesday,FALSE,TRUE,Clear,13.735,16.00355,44.9583,20.624811,2134
2011-03-03,2011,Winter,3,Thursday,FALSE,TRUE,Clear,8.131653,10.00665,31.8333,15.125518,1685
2011-03-04,2011,Winter,3,Friday,FALSE,TRUE,Cloudy,10.728347,12.78395,61.0417,13.624182,1944
2011-03-05,2011,Winter,3,Saturday,FALSE,FALSE,Cloudy,15.750847,18.93895,78.9167,16.875357,2077
2011-03-06,2011,Winter,3,Sunday,FALSE,FALSE,Cloudy,15.437402,18.3126,94.8261,23.000229,605
2011-03-07,2011,Winter,3,Monday,FALSE,TRUE,Clear,10.731299,11.92305,55.1304,22.870584,1872
2011-03-08,2011,Winter,3,Tuesday,FALSE,TRUE,Clear,11.9925,15.12,42.0833,8.08355,2133
2011-03-09,2011,Winter,3,Wednesday,FALSE,TRUE,Cloudy,12.129153,14.3304,77.5417,14.75005,1891
2011-03-10,2011,Winter,3,Thursday,FALSE,TRUE,Light precip,15.952731,19.2834,0,17.545759,623
2011-03-11,2011,Winter,3,Friday,FALSE,TRUE,Cloudy,12.977402,15.25,64.9565,15.60899,1977
2011-03-12,2011,Winter,3,Saturday,FALSE,FALSE,Clear,13.495847,16.2875,59.4583,14.791925,2132
2011-03-13,2011,Winter,3,Sunday,FALSE,FALSE,Clear,15.758268,19.00455,52.7391,18.130468,2417
2011-03-14,2011,Winter,3,Monday,FALSE,TRUE,Clear,13.333897,16.6,49.6957,9.174042,2046
2011-03-15,2011,Winter,3,Tuesday,FALSE,TRUE,Cloudy,13.013031,15.9089,65.5652,12.348703,2056
2011-03-16,2011,Winter,3,Wednesday,FALSE,TRUE,Cloudy,14.973897,18.3465,77.6522,13.608839,2192
2011-03-17,2011,Winter,3,Thursday,FALSE,TRUE,Clear,17.015,20.51665,60.2917,14.041793,2744
2011-03-18,2011,Winter,3,Friday,FALSE,TRUE,Clear,22.14,26.35045,52.5217,15.478139,3239
2011-03-19,2011,Winter,3,Saturday,FALSE,FALSE,Clear,19.3725,23.32625,37.9167,24.667189,3117
2011-03-20,2011,Winter,3,Sunday,FALSE,FALSE,Clear,13.6325,16.2875,47.375,13.917307,2471
2011-03-21,2011,Spring,3,Monday,FALSE,TRUE,Cloudy,17.647835,20.48675,73.7391,19.348461,2077
2011-03-22,2011,Spring,3,Tuesday,FALSE,TRUE,Clear,18.108347,22.0321,62.4583,15.12525,2703
2011-03-23,2011,Spring,3,Wednesday,FALSE,TRUE,Cloudy,14.225237,16.89695,83.9565,15.695487,2121
2011-03-24,2011,Spring,3,Thursday,FALSE,TRUE,Cloudy,11.685,13.54165,80.5833,16.333729,1865
2011-03-25,2011,Spring,3,Friday,FALSE,TRUE,Clear,10.830847,12.8156,49.5,15.458575,2210
2011-03-26,2011,Spring,3,Saturday,FALSE,FALSE,Clear,10.899153,12.87855,39.4167,14.041257,2496
2011-03-27,2011,Spring,3,Sunday,FALSE,FALSE,Cloudy,10.374763,12.51695,49.3913,12.3481,1693
2011-03-28,2011,Spring,3,Monday,FALSE,TRUE,Clear,10.838268,12.8787,30.2174,14.217668,2028
2011-03-29,2011,Spring,3,Tuesday,FALSE,TRUE,Clear,12.4025,14.6454,31.4167,15.208732,2425
2011-03-30,2011,Spring,3,Wednesday,FALSE,TRUE,Cloudy,12.3,14.8675,64.6667,11.583496,1536
2011-03-31,2011,Spring,3,Thursday,FALSE,TRUE,Light precip,11.001653,12.87875,91.8333,14.582282,1685
2011-04-01,2011,Spring,4,Friday,FALSE,TRUE,Cloudy,12.3,14.1727,68.625,17.333436,2227
2011-04-02,2011,Spring,4,Saturday,FALSE,FALSE,Cloudy,12.915,15.78185,65.375,13.208782,2252
2011-04-03,2011,Spring,4,Sunday,FALSE,FALSE,Clear,15.511653,18.93835,48,12.208271,3249
2011-04-04,2011,Spring,4,Monday,FALSE,TRUE,Clear,23.506653,27.14645,42.625,25.833257,3115
2011-04-05,2011,Spring,4,Tuesday,FALSE,TRUE,Cloudy,16.980847,19.9175,64.2083,26.000489,1795
2011-04-06,2011,Spring,4,Wednesday,FALSE,TRUE,Clear,16.024153,19.3804,47.0833,17.625221,2808
2011-04-07,2011,Spring,4,Thursday,FALSE,TRUE,Clear,17.9375,21.6848,60.2917,10.874904,3141
2011-04-08,2011,Spring,4,Friday,FALSE,TRUE,Cloudy,13.769153,16.22395,83.625,15.208464,1471
2011-04-09,2011,Spring,4,Saturday,FALSE,FALSE,Cloudy,14.0425,17.07645,87.75,8.916561,2455
2011-04-10,2011,Spring,4,Sunday,FALSE,FALSE,Cloudy,17.493347,21.33685,85.75,9.833389,2895
2011-04-11,2011,Spring,4,Monday,FALSE,TRUE,Cloudy,24.421732,28.26085,71.6956,21.739758,3348
2011-04-12,2011,Spring,4,Tuesday,FALSE,TRUE,Cloudy,20.6025,24.6527,73.9167,18.416893,2034
2011-04-13,2011,Spring,4,Wednesday,FALSE,TRUE,Cloudy,16.9125,20.86415,81.9167,16.791339,2162
2011-04-14,2011,Spring,4,Thursday,FALSE,TRUE,Clear,19.1675,23.1371,54.0417,7.4169,3267
2011-04-15,2011,Spring,4,Friday,TRUE,FALSE,Clear,18.313347,22.09565,67.125,15.167125,3126
2011-04-16,2011,Spring,4,Saturday,FALSE,FALSE,Light precip,17.664153,21.2746,88.8333,22.834136,795
2011-04-17,2011,Spring,4,Sunday,FALSE,FALSE,Clear,18.723347,22.2848,47.9583,20.334232,3744
2011-04-18,2011,Spring,4,Monday,FALSE,TRUE,Clear,21.0125,25.1573,54.25,10.958989,3429
2011-04-19,2011,Spring,4,Tuesday,FALSE,TRUE,Cloudy,20.739153,24.4629,66.5833,10.584057,3204
2011-04-20,2011,Spring,4,Wednesday,FALSE,TRUE,Clear,24.395,28.2196,61.4167,16.208975,3944
2011-04-21,2011,Spring,4,Thursday,FALSE,TRUE,Clear,18.825847,22.6946,40.7083,21.792286,4189
2011-04-22,2011,Spring,4,Friday,FALSE,TRUE,Cloudy,13.803347,16.0977,72.9583,14.707907,1683
2011-04-23,2011,Spring,4,Saturday,FALSE,FALSE,Cloudy,18.86,22.50605,88.7917,15.458575,4036
2011-04-24,2011,Spring,4,Sunday,FALSE,FALSE,Cloudy,23.848347,27.58815,81.0833,12.875725,4191
2011-04-25,2011,Spring,4,Monday,FALSE,TRUE,Clear,24.873347,28.725,77.6667,12.417311,4073
2011-04-26,2011,Spring,4,Tuesday,FALSE,TRUE,Clear,25.898347,29.70415,72.9167,21.8755,4400
2011-04-27,2011,Spring,4,Wednesday,FALSE,TRUE,Cloudy,25.42,28.7571,83.5417,20.9174,3872
2011-04-28,2011,Spring,4,Thursday,FALSE,TRUE,Cloudy,25.3175,28.94645,70.0833,21.500836,4058
2011-04-29,2011,Spring,4,Friday,FALSE,TRUE,Clear,20.91,24.87315,45.7083,16.084221,4595
2011-04-30,2011,Spring,4,Saturday,FALSE,FALSE,Clear,19.3725,23.20105,50.3333,15.750025,5312
2011-05-01,2011,Spring,5,Sunday,FALSE,FALSE,Cloudy,18.518347,22.4102,76.2083,7.125718,3351
2011-05-02,2011,Spring,5,Monday,FALSE,TRUE,Cloudy,22.515847,26.64165,73,12.291418,4401
2011-05-03,2011,Spring,5,Tuesday,FALSE,TRUE,Cloudy,25.283347,29.10395,69.7083,22.958689,4451
2011-05-04,2011,Spring,5,Wednesday,FALSE,TRUE,Cloudy,16.980847,20.2325,73.7083,22.042732,2633
2011-05-05,2011,Spring,5,Thursday,FALSE,TRUE,Clear,18.825847,22.09585,44.4167,19.791264,4433
2011-05-06,2011,Spring,5,Friday,FALSE,TRUE,Clear,19.645847,23.70585,59,15.292482,4608
2011-05-07,2011,Spring,5,Saturday,FALSE,FALSE,Clear,21.32,25.63105,54.125,10.75015,4714
2011-05-08,2011,Spring,5,Sunday,FALSE,FALSE,Clear,21.661653,25.94665,63.1667,5.0007125,4333
2011-05-09,2011,Spring,5,Monday,FALSE,TRUE,Clear,21.8325,26.2623,58.875,11.792,4362
2011-05-10,2011,Spring,5,Tuesday,FALSE,TRUE,Clear,21.8325,26.13605,48.9167,7.749957,4803
2011-05-11,2011,Spring,5,Wednesday,FALSE,TRUE,Clear,22.2425,26.42,63.2917,8.083014,4182
2011-05-12,2011,Spring,5,Thursday,FALSE,TRUE,Clear,21.935,26.16815,74.75,12.707689,4864
2011-05-13,2011,Spring,5,Friday,FALSE,TRUE,Cloudy,21.0125,24.715,86.3333,12.041575,4105
2011-05-14,2011,Spring,5,Saturday,FALSE,FALSE,Cloudy,21.354153,25.03145,92.25,9.04165,3409
2011-05-15,2011,Spring,5,Sunday,FALSE,FALSE,Cloudy,23.0625,26.8,86.7083,10.249593,4553
2011-05-16,2011,Spring,5,Monday,FALSE,TRUE,Clear,23.6775,27.5256,78.7917,8.500357,3958
2011-05-17,2011,Spring,5,Tuesday,FALSE,TRUE,Cloudy,23.028347,26.92645,83.7917,18.582718,4123
2011-05-18,2011,Spring,5,Wednesday,FALSE,TRUE,Cloudy,22.55,26.3579,87,13.499964,3855
2011-05-19,2011,Spring,5,Thursday,FALSE,TRUE,Cloudy,21.764153,25.5371,82.9583,7.250271,4575
2011-05-20,2011,Spring,5,Friday,FALSE,TRUE,Clear,22.003347,26.4521,71.9583,8.375871,4917
2011-05-21,2011,Spring,5,Saturday,FALSE,FALSE,Clear,24.7025,28.59875,62.6667,8.08355,5805
2011-05-22,2011,Spring,5,Sunday,FALSE,FALSE,Clear,24.770847,28.725,74.9583,9.916536,4660
2011-05-23,2011,Spring,5,Monday,FALSE,TRUE,Cloudy,25.898347,29.5148,81,15.667414,4274
2011-05-24,2011,Spring,5,Tuesday,FALSE,TRUE,Cloudy,27.06,30.24065,74.0833,13.875164,4492
2011-05-25,2011,Spring,5,Wednesday,FALSE,TRUE,Clear,27.094153,30.7771,69.625,10.333611,4978
2011-05-26,2011,Spring,5,Thursday,FALSE,TRUE,Clear,29.041653,32.7344,67.75,13.376014,4677
2011-05-27,2011,Spring,5,Friday,FALSE,TRUE,Clear,27.948347,31.8504,65.375,16.125493,4679
2011-05-28,2011,Spring,5,Saturday,FALSE,FALSE,Clear,26.889153,30.61895,72.9583,15.416164,4758
2011-05-29,2011,Spring,5,Sunday,FALSE,FALSE,Clear,27.3675,30.7775,81.875,14.333846,4788
2011-05-30,2011,Spring,5,Monday,TRUE,FALSE,Clear,30.066653,33.5546,68.5,8.792075,4098
2011-05-31,2011,Spring,5,Tuesday,FALSE,TRUE,Clear,31.775,36.26915,63.6667,7.459043,3982
2011-06-01,2011,Spring,6,Wednesday,FALSE,TRUE,Cloudy,31.330847,36.04835,67.7083,13.875164,3974
2011-06-02,2011,Spring,6,Thursday,FALSE,TRUE,Clear,29.315,32.1971,30.5,19.583229,4968
2011-06-03,2011,Spring,6,Friday,FALSE,TRUE,Clear,25.42,29.35665,35.4167,16.959107,5312
2011-06-04,2011,Spring,6,Saturday,FALSE,FALSE,Clear,26.035,29.7348,45.625,8.250514,5342
2011-06-05,2011,Spring,6,Sunday,FALSE,FALSE,Cloudy,26.581653,30.8402,65.25,9.292364,4906
2011-06-06,2011,Spring,6,Monday,FALSE,TRUE,Clear,27.811653,31.0929,60,8.167032,4548
2011-06-07,2011,Spring,6,Tuesday,FALSE,TRUE,Clear,29.0075,32.7975,59.7917,12.583136,4833
