degree,HoursWorked,HoursRelax
BACHELOR,55,2
BACHELOR,45,4
JUNIOR COLLEGE,45,3
HIGH SCHOOL,40,0
HIGH SCHOOL,48,5
JUNIOR COLLEGE,26,5
HIGH SCHOOL,40,3
BACHELOR,50,2
HIGH SCHOOL,40,5
HIGH SCHOOL,25,10
GRADUATE,20,0
BACHELOR,89,2
JUNIOR COLLEGE,25,3
BACHELOR,40,1
BACHELOR,20,4
GRADUATE,20,6
HIGH SCHOOL,60,6
GRADUATE,40,5
BACHELOR,3,NA
GRADUATE,40,4
BACHELOR,40,3
GRADUATE,35,3
HIGH SCHOOL,24,4
GRADUATE,60,3
GRADUATE,34,NA
HIGH SCHOOL,40,2
HIGH SCHOOL,50,5
HIGH SCHOOL,50,2
BACHELOR,32,0
BACHELOR,40,2
LT HIGH SCHOOL,46,2
BACHELOR,36,2
HIGH SCHOOL,30,4
BACHELOR,40,6
BACHELOR,40,3
JUNIOR COLLEGE,36,3
BACHELOR,40,4
BACHELOR,40,3
HIGH SCHOOL,48,2
GRADUATE,35,6
JUNIOR COLLEGE,50,3
JUNIOR COLLEGE,20,5
BACHELOR,50,2
HIGH SCHOOL,68,1
JUNIOR COLLEGE,50,8
GRADUATE,40,2
HIGH SCHOOL,35,8
JUNIOR COLLEGE,20,1
HIGH SCHOOL,9,3
BACHELOR,40,4
BACHELOR,52,4
HIGH SCHOOL,35,2
HIGH SCHOOL,40,2
LT HIGH SCHOOL,30,2
BACHELOR,41,2
BACHELOR,40,0
LT HIGH SCHOOL,35,4
JUNIOR COLLEGE,38,1
BACHELOR,70,2
HIGH SCHOOL,35,2
HIGH SCHOOL,48,NA
GRADUATE,9,4
HIGH SCHOOL,32,2
HIGH SCHOOL,35,2
HIGH SCHOOL,50,3
BACHELOR,65,2
GRADUATE,7,8
BACHELOR,24,4
BACHELOR,60,3
GRADUATE,40,2
GRADUATE,40,4
HIGH SCHOOL,30,2
GRADUATE,50,3
BACHELOR,40,4
HIGH SCHOOL,24,4
GRADUATE,45,3
HIGH SCHOOL,12,2
HIGH SCHOOL,30,5
LT HIGH SCHOOL,30,1
HIGH SCHOOL,40,5
HIGH SCHOOL,15,18
HIGH SCHOOL,40,4
BACHELOR,89,2
LT HIGH SCHOOL,30,3
LT HIGH SCHOOL,40,2
LT HIGH SCHOOL,40,8
GRADUATE,50,4
LT HIGH SCHOOL,50,1
LT HIGH SCHOOL,32,14
HIGH SCHOOL,40,6
HIGH SCHOOL,24,2
HIGH SCHOOL,60,2
GRADUATE,24,3
HIGH SCHOOL,50,2
HIGH SCHOOL,20,12
BACHELOR,45,2
GRADUATE,40,1
LT HIGH SCHOOL,28,4
LT HIGH SCHOOL,38,2
HIGH SCHOOL,9,NA
GRADUATE,25,3
BACHELOR,40,2
HIGH SCHOOL,62,5
LT HIGH SCHOOL,47,4
LT HIGH SCHOOL,40,1
HIGH SCHOOL,40,2
HIGH SCHOOL,40,2
HIGH SCHOOL,37,0
BACHELOR,47,4
HIGH SCHOOL,29,5
HIGH SCHOOL,40,4
GRADUATE,25,2
BACHELOR,55,8
HIGH SCHOOL,30,4
HIGH SCHOOL,25,4
HIGH SCHOOL,60,1
GRADUATE,44,4
HIGH SCHOOL,38,6
HIGH SCHOOL,50,5
GRADUATE,60,4
HIGH SCHOOL,75,1
HIGH SCHOOL,27,2
LT HIGH SCHOOL,40,1
BACHELOR,50,5
GRADUATE,45,8
JUNIOR COLLEGE,30,5
HIGH SCHOOL,45,8
HIGH SCHOOL,52,1
BACHELOR,72,4
BACHELOR,40,5
BACHELOR,50,4
BACHELOR,45,1
JUNIOR COLLEGE,52,2
BACHELOR,70,3
HIGH SCHOOL,40,4
GRADUATE,20,6
GRADUATE,40,5
BACHELOR,60,3
HIGH SCHOOL,50,8
BACHELOR,40,2
GRADUATE,9,4
HIGH SCHOOL,40,0
HIGH SCHOOL,40,7
HIGH SCHOOL,30,4
BACHELOR,25,2
BACHELOR,40,3
LT HIGH SCHOOL,25,5
GRADUATE,37,5
BACHELOR,45,5
GRADUATE,64,1
BACHELOR,33,3
BACHELOR,30,0
HIGH SCHOOL,40,0
BACHELOR,9,7
GRADUATE,72,3
BACHELOR,16,4
HIGH SCHOOL,60,3
BACHELOR,41,4
HIGH SCHOOL,37,1
HIGH SCHOOL,50,2
HIGH SCHOOL,42,3
BACHELOR,30,2
JUNIOR COLLEGE,40,0
HIGH SCHOOL,20,4
BACHELOR,40,1
HIGH SCHOOL,40,2
BACHELOR,40,1
JUNIOR COLLEGE,54,3
GRADUATE,35,2
HIGH SCHOOL,10,8
HIGH SCHOOL,40,2
HIGH SCHOOL,38,1
HIGH SCHOOL,60,3
GRADUATE,8,6
HIGH SCHOOL,38,3
BACHELOR,6,6
GRADUATE,50,5
GRADUATE,45,5
BACHELOR,48,5
BACHELOR,46,4
BACHELOR,45,3
LT HIGH SCHOOL,40,3
HIGH SCHOOL,16,7
BACHELOR,40,8
BACHELOR,32,6
BACHELOR,52,4
JUNIOR COLLEGE,34,3
HIGH SCHOOL,15,5
HIGH SCHOOL,50,3
HIGH SCHOOL,20,3
HIGH SCHOOL,30,1
BACHELOR,3,5
GRADUATE,60,4
BACHELOR,40,3
HIGH SCHOOL,40,1
HIGH SCHOOL,22,2
HIGH SCHOOL,45,5
HIGH SCHOOL,50,2
HIGH SCHOOL,32,5
HIGH SCHOOL,40,4
LT HIGH SCHOOL,25,2
HIGH SCHOOL,30,2
BACHELOR,40,3
BACHELOR,42,3
LT HIGH SCHOOL,48,2
LT HIGH SCHOOL,20,6
GRADUATE,35,7
HIGH SCHOOL,40,2
HIGH SCHOOL,40,4
BACHELOR,40,5
HIGH SCHOOL,37,4
HIGH SCHOOL,40,4
HIGH SCHOOL,40,3
JUNIOR COLLEGE,44,5
LT HIGH SCHOOL,9,4
HIGH SCHOOL,40,1
HIGH SCHOOL,40,2
HIGH SCHOOL,51,8
HIGH SCHOOL,20,8
HIGH SCHOOL,50,1
BACHELOR,50,4
GRADUATE,40,12
LT HIGH SCHOOL,42,3
LT HIGH SCHOOL,40,1
GRADUATE,20,7
HIGH SCHOOL,11,8
BACHELOR,48,NA
HIGH SCHOOL,60,2
JUNIOR COLLEGE,50,2
BACHELOR,50,3
GRADUATE,35,8
HIGH SCHOOL,55,2
HIGH SCHOOL,70,3
BACHELOR,52,1
HIGH SCHOOL,40,6
HIGH SCHOOL,40,3
HIGH SCHOOL,40,4
HIGH SCHOOL,40,4
LT HIGH SCHOOL,5,NA
LT HIGH SCHOOL,40,6
HIGH SCHOOL,40,2
HIGH SCHOOL,30,3
HIGH SCHOOL,60,1
BACHELOR,40,4
HIGH SCHOOL,40,0
HIGH SCHOOL,45,4
HIGH SCHOOL,46,0
HIGH SCHOOL,38,5
LT HIGH SCHOOL,9,3
HIGH SCHOOL,40,2
HIGH SCHOOL,40,2
BACHELOR,45,2
HIGH SCHOOL,42,3
JUNIOR COLLEGE,27,3
HIGH SCHOOL,40,2
JUNIOR COLLEGE,20,3
HIGH SCHOOL,45,7
BACHELOR,65,3
BACHELOR,40,4
LT HIGH SCHOOL,60,2
LT HIGH SCHOOL,30,4
HIGH SCHOOL,38,8
HIGH SCHOOL,40,1
HIGH SCHOOL,67,5
LT HIGH SCHOOL,32,2
HIGH SCHOOL,39,4
HIGH SCHOOL,8,4
BACHELOR,40,5
HIGH SCHOOL,40,5
HIGH SCHOOL,40,5
HIGH SCHOOL,50,2
HIGH SCHOOL,65,4
LT HIGH SCHOOL,40,5
HIGH SCHOOL,40,5
HIGH SCHOOL,9,1
HIGH SCHOOL,36,3
GRADUATE,44,3
BACHELOR,30,4
LT HIGH SCHOOL,9,8
HIGH SCHOOL,40,1
HIGH SCHOOL,40,2
BACHELOR,21,5
LT HIGH SCHOOL,58,1
LT HIGH SCHOOL,30,2
BACHELOR,40,3
HIGH SCHOOL,40,3
GRADUATE,38,6
BACHELOR,40,3
GRADUATE,50,2
GRADUATE,40,1
GRADUATE,40,1
BACHELOR,10,2
HIGH SCHOOL,9,10
HIGH SCHOOL,50,4
GRADUATE,55,5
HIGH SCHOOL,40,6
HIGH SCHOOL,36,14
GRADUATE,50,2
HIGH SCHOOL,45,4
HIGH SCHOOL,22,0
GRADUATE,40,5
BACHELOR,32,5
HIGH SCHOOL,50,NA
HIGH SCHOOL,25,2
HIGH SCHOOL,48,3
HIGH SCHOOL,89,1
HIGH SCHOOL,25,5
JUNIOR COLLEGE,55,2
HIGH SCHOOL,43,1
HIGH SCHOOL,40,1
HIGH SCHOOL,60,5
BACHELOR,40,2
BACHELOR,60,5
GRADUATE,55,3
HIGH SCHOOL,40,0
GRADUATE,54,5
LT HIGH SCHOOL,20,5
HIGH SCHOOL,50,4
JUNIOR COLLEGE,58,3
HIGH SCHOOL,42,0
BACHELOR,40,5
BACHELOR,50,3
BACHELOR,32,3
LT HIGH SCHOOL,70,5
HIGH SCHOOL,40,1
HIGH SCHOOL,15,6
GRADUATE,40,1
BACHELOR,45,0
HIGH SCHOOL,40,4
HIGH SCHOOL,9,3
HIGH SCHOOL,30,2
GRADUATE,40,2
BACHELOR,40,5
HIGH SCHOOL,40,4
JUNIOR COLLEGE,9,2
HIGH SCHOOL,48,4
GRADUATE,25,2
HIGH SCHOOL,30,3
GRADUATE,30,4
BACHELOR,10,3
BACHELOR,40,1
BACHELOR,48,3
HIGH SCHOOL,54,2
GRADUATE,50,2
HIGH SCHOOL,45,5
BACHELOR,40,5
LT HIGH SCHOOL,42,0
BACHELOR,42,3
LT HIGH SCHOOL,40,6
LT HIGH SCHOOL,40,5
HIGH SCHOOL,40,3
LT HIGH SCHOOL,6,7
HIGH SCHOOL,40,5
HIGH SCHOOL,60,3
HIGH SCHOOL,4,14
GRADUATE,30,4
HIGH SCHOOL,18,5
HIGH SCHOOL,47,1
HIGH SCHOOL,40,1
BACHELOR,18,2
HIGH SCHOOL,60,2
HIGH SCHOOL,45,4
JUNIOR COLLEGE,70,3
HIGH SCHOOL,30,1
HIGH SCHOOL,38,7
BACHELOR,42,6
HIGH SCHOOL,41,2
BACHELOR,38,5
HIGH SCHOOL,40,6
HIGH SCHOOL,24,8
BACHELOR,45,5
BACHELOR,40,4
