ParticipantNumber,Condition,Speaker,Date,RA,competent,thoughtful,intelligent,like,positive_impression,negative_impression,hire,age,gender,ethnicity,English,cond2,negimpressionR,intellect,impression,speaker_age,speaker_gender,video,audio,transcript,meanhire,meanintellect,meanimpression,centhire,centintellect,centimpression
3,transcript,19,2013-12-28,TK&JO,4,0,3,8,10,0,9,53,0,caucasian,1,3,10,2.3333333333333335,9.333333333333334,32,1,0,0,1,4.222222222222222,1.5185185185185182,5.851851851851851,4.777777777777778,0.8148148148148153,3.4814814814814827
4,audio,13,2013-12-28,TK&JO,1,2,NA,5,5,2,5,51,1,caucasian,1,2,8,1.5,6,24,1,0,1,0,6,1.6481481481481481,7.296296296296297,-1,-0.14814814814814814,-1.2962962962962967
5,audio,18,2013-12-28,TK&JO,3,3,4,5,5,4,4,52,1,Native Am Ind.,1,2,6,3.3333333333333335,5.333333333333333,27,0,0,1,0,4.111111111111111,0.8518518518518519,5.666666666666667,-0.11111111111111072,2.481481481481482,-0.3333333333333339
6,audio,20,2013-12-28,TK&JO,1,1,0,5,5,0,5,28,1,Latino/Caucasian,NA,2,10,0.6666666666666666,6.666666666666667,27,0,0,1,0,5.375,1.5555555555555556,5.888888888888889,-0.375,-0.888888888888889,0.7777777777777777
8,audio,12,2013-12-28,TK&JO,-3,0,-2,2,2,5,2,52,0,caucasian,1,2,5,-1.6666666666666667,3,28,0,0,1,0,3.888888888888889,0.2962962962962962,5.999999999999999,-1.8888888888888888,-1.962962962962963,-2.999999999999999
11,transcript,7,2013-12-28,TK&JO,-3,-3,-1,5,2,1,1,50,0,caucasian,1,3,9,-2.3333333333333335,5.333333333333333,26,0,0,0,1,4.333333333333333,0.6666666666666665,6.37037037037037,-3.333333333333333,-3,-1.0370370370370372
12,audio,7,2013-12-28,TK&JO,NA,NA,NA,NA,NA,2,8,32,0,Indian,0,2,8,NA,8,26,0,0,1,0,4.333333333333333,0.6666666666666665,6.37037037037037,3.666666666666667,NA,1.6296296296296298
15,audio,5,2013-12-28,TK&JO,-3,-1,1,2,2,5,5,59,0,AA,1,2,5,-1,3,31,1,0,1,0,4.666666666666667,0.48148148148148157,5.962962962962964,0.33333333333333304,-1.4814814814814816,-2.9629629629629637
16,transcript,10,2013-12-28,TK&JO,1,2,3,6,7,4,5,20,0,Asian Indian,0,3,6,2,6.333333333333333,28,0,0,0,1,2.7777777777777777,-3.700743415417188e-17,5.444444444444445,2.2222222222222223,2,0.8888888888888884
17,audio,8,2013-12-28,TK&JO,1,1,1,2,1,5,1,27,1,Indian (Asia),0,2,5,1,2.6666666666666665,29,0,0,1,0,3,-1,4.7407407407407405,-2,2,-2.074074074074074
