ID,Period,AdvPlacement,Grade,Gender,Condition,Pretest,Posttest,Improvement
1,3,0,7,M,Low-context,22,30,8
2,1,1,8,M,Low-context,32,35,3
3,2,0,7,M,Low-context,26,30,4
4,1,1,7,M,High-context,36,33,-3
5,2,0,8,F,Low-context,32,33,1
6,1,1,8,F,High-context,32,27,-5
7,2,0,8,M,High-context,15,19,4
8,3,0,8,F,Low-context,20,22,2
9,1,1,8,M,Low-context,37,39,2
10,1,1,7,F,Low-context,30,35,5
11,3,0,7,M,Low-context,23,34,11
12,2,0,7,F,High-context,19,28,9
13,1,1,8,F,High-context,21,19,-2
14,2,0,8,M,Low-context,21,28,7
15,3,0,7,F,High-context,23,24,1
16,1,1,7,F,High-context,28,32,4
17,1,1,7,M,High-context,32,31,-1
18,3,0,8,M,High-context,21,28,7
19,1,1,8,F,Low-context,35,33,-2
20,2,0,8,M,High-context,19,22,3
21,3,0,8,F,High-context,32,27,-5
22,2,0,7,M,High-context,23,17,-6
23,3,0,7,F,High-context,22,18,-4
24,1,1,8,M,High-context,32,28,-4
25,2,0,8,F,Low-context,26,25,-1
26,1,1,8,F,Low-context,34,36,2
27,2,0,8,M,High-context,21,20,-1
28,3,0,7,M,Low-context,24,24,0
29,2,0,8,M,High-context,26,12,-14
30,3,0,8,F,Low-context,21,20,-1
31,1,1,8,F,High-context,27,29,2
33,1,1,7,M,Low-context,19,23,4
34,3,0,7,M,High-context,28,23,-5
35,3,0,8,F,High-context,16,25,9
36,1,1,8,F,Low-context,34,35,1
37,3,0,7,F,Low-context,17,23,6
38,2,0,8,F,Low-context,27,24,-3
39,2,0,7,M,Low-context,18,20,2
40,3,0,7,M,Low-context,20,22,2
41,2,0,7,F,Low-context,22,22,0
42,1,1,7,M,Low-context,30,32,2
43,3,0,8,M,Low-context,27,25,-2
44,1,1,8,M,High-context,29,25,-4
45,2,0,8,F,Low-context,25,24,-1
47,2,0,8,F,Low-context,17,26,9
48,3,0,7,M,High-context,23,24,1
50,1,1,7,F,Low-context,24,30,6
51,1,1,7,M,High-context,40,40,0
52,1,1,8,F,High-context,28,28,0
53,1,1,8,M,Low-context,23,25,2
54,3,0,7,M,High-context,22,21,-1
55,2,0,7,M,High-context,31,31,0
56,3,0,7,M,High-context,30,26,-4
57,2,0,8,F,Low-context,21,20,-1
58,1,1,7,F,Low-context,28,26,-2
59,2,0,7,F,High-context,18,25,7
60,1,1,8,F,Low-context,29,34,5
61,1,1,8,F,High-context,36,39,3
62,3,0,8,F,High-context,22,27,5
63,3,0,7,M,High-context,17,21,4
65,1,1,8,F,Low-context,23,30,7
66,3,0,7,F,Low-context,26,28,2
67,2,0,8,M,Low-context,28,23,-5
68,1,1,8,M,Low-context,28,30,2
69,1,1,8,F,High-context,36,40,4
70,3,0,8,M,Low-context,26,20,-6
71,3,0,7,M,Low-context,20,29,9
72,2,0,7,F,High-context,23,18,-5
73,3,0,8,F,High-context,31,30,-1
74,3,0,7,F,Low-context,23,24,1
75,2,0,7,M,High-context,33,25,-8
76,1,1,7,M,Low-context,32,39,7
77,1,1,8,M,Low-context,32,36,4
78,2,0,7,M,High-context,24,29,5
79,3,0,7,M,High-context,18,17,-1
80,1,1,8,M,Low-context,31,33,2
83,1,1,7,M,High-context,24,28,4
84,2,0,7,M,High-context,21,19,-2
85,2,0,8,F,Low-context,18,22,4
86,1,1,8,F,Low-context,39,36,-3
87,2,0,7,F,High-context,16,17,1
88,1,1,7,F,Low-context,26,23,-3
89,3,0,7,M,High-context,23,22,-1
90,2,0,7,M,High-context,20,25,5
91,1,1,7,M,Low-context,28,30,2
92,1,1,7,F,High-context,28,22,-6
93,1,1,8,F,High-context,27,24,-3
94,1,1,7,M,High-context,23,27,4
95,2,0,8,M,High-context,21,20,-1
96,1,1,7,F,High-context,27,28,1
97,3,0,7,F,Low-context,22,24,2
98,3,0,8,M,Low-context,25,25,0
99,1,1,7,F,High-context,24,17,-7
100,3,0,8,F,Low-context,17,22,5
101,2,0,7,M,Low-context,20,19,-1
102,2,0,8,F,Low-context,18,22,4
103,3,0,7,M,Low-context,14,24,10
104,1,1,7,F,High-context,22,28,6
105,2,0,8,F,Low-context,25,22,-3
106,1,1,7,F,Low-context,25,24,-1
107,3,0,8,F,Low-context,31,27,-4
108,2,0,7,F,High-context,28,26,-2
109,2,0,8,F,High-context,28,26,-2
110,3,0,7,F,Low-context,34,37,3
112,3,0,8,M,High-context,27,16,-11
