id,Phase,Preference
101,Before,0.4371257
102,Before,0.4125326
103,Before,0.754491
104,Before,0.4388778
105,Before,0.474645
106,Before,0.8709016
107,Before,0.236715
108,Before,0.7592593
109,Before,0.4163347
110,Before,0.7995338
111,Before,0.3786765
112,Before,0.6978922
113,Before,0.5934066
114,Before,0.6149068
115,Before,0.6149068
116,Before,0.3168317
117,Before,0.3104167
118,Before,0.5043668
119,Before,0.4693396
120,Before,0.5040816
121,Before,0.5640327
122,Before,0.2566372
123,Before,0.7
124,Before,0.3823529
125,Before,0.3718593
126,Before,0.2844639
127,Before,0.7678161
128,Before,0.4737864
129,Before,0.8212181
130,Before,0.5901639
131,Before,0.4220374
132,Before,0.4354839
101,After,0.6027398
102,After,0.6830266
103,After,0.7241379
104,After,0.2816538
105,After,0.4985423
106,After,0.9509202
107,After,0.4177546
108,After,0.9382023
109,After,0.5
110,After,0.5862944
111,After,0.4726225
112,After,0.5083799
113,After,0.8111888
114,After,0.5718015
115,After,0.7774481
116,After,0.2628458
117,After,0.5079365
118,After,0.4369748
119,After,0.5421053
120,After,0.6008968
121,After,0.4186747
122,After,0.7894737
123,After,0.7601078
124,After,0.6238938
125,After,0.3664122
126,After,0.4615385
127,After,0.8995215
128,After,0.5311005
129,After,0.5418994
130,After,0.7003891
131,After,0.7629629
132,After,0.460274
