id,Group,Looking
101,Before,0.4371257
101,After,0.6027398
102,Before,0.4125326
102,After,0.6830266
103,Before,0.754491
103,After,0.7241379
104,Before,0.4388778
104,After,0.2816538
105,Before,0.474645
105,After,0.4985423
106,Before,0.8709016
106,After,0.9509202
107,Before,0.236715
107,After,0.4177546
108,Before,0.7592593
108,After,0.9382023
109,Before,0.4163347
109,After,0.5
110,Before,0.7995338
110,After,0.5862944
111,Before,0.3786765
111,After,0.4726225
112,Before,0.6978922
112,After,0.5083799
113,Before,0.5934066
113,After,0.8111888
114,Before,0.6149068
114,After,0.5718015
115,Before,0.6149068
115,After,0.7774481
116,Before,0.3168317
116,After,0.2628458
117,Before,0.3104167
117,After,0.5079365
118,Before,0.5043668
118,After,0.4369748
119,Before,0.4693396
119,After,0.5421053
120,Before,0.5040816
120,After,0.6008968
121,Before,0.5640327
121,After,0.4186747
122,Before,0.2566372
122,After,0.7894737
123,Before,0.7
123,After,0.7601078
124,Before,0.3823529
124,After,0.6238938
125,Before,0.3718593
125,After,0.3664122
126,Before,0.2844639
126,After,0.4615385
127,Before,0.7678161
127,After,0.8995215
128,Before,0.4737864
128,After,0.5311005
129,Before,0.8212181
129,After,0.5418994
130,Before,0.5901639
130,After,0.7003891
131,Before,0.4220374
131,After,0.7629629
132,Before,0.4354839
132,After,0.460274
