id,Before,After
101,0.4371257,0.6027398
102,0.4125326,0.6830266
103,0.754491,0.7241379
104,0.4388778,0.2816538
105,0.474645,0.4985423
106,0.8709016,0.9509202
107,0.236715,0.4177546
108,0.7592593,0.9382023
109,0.4163347,0.5
110,0.7995338,0.5862944
111,0.3786765,0.4726225
112,0.6978922,0.5083799
113,0.5934066,0.8111888
114,0.6149068,0.5718015
115,0.6149068,0.7774481
116,0.3168317,0.2628458
117,0.3104167,0.5079365
118,0.5043668,0.4369748
119,0.4693396,0.5421053
120,0.5040816,0.6008968
121,0.5640327,0.4186747
122,0.2566372,0.7894737
123,0.7,0.7601078
124,0.3823529,0.6238938
125,0.3718593,0.3664122
126,0.2844639,0.4615385
127,0.7678161,0.8995215
128,0.4737864,0.5311005
129,0.8212181,0.5418994
130,0.5901639,0.7003891
131,0.4220374,0.7629629
132,0.4354839,0.460274
