type,color
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
original,not blue
