_id,Scenario,Sacrifice,UserID,Session_id,Scenario_order,Template,answerLeft,lang,seenOther,country_code,country_full
Ae2DiwWXkTDa5ErRG,Footbridge,No,48f1bb65_4565879731077689,1767950778-4.56587973108e+15,2,Desktop,FALSE,en,FALSE,US,United States
oZicKrdCz4n8RDGSY,Switch,Yes,48f1bb65_4565879731077689,1767950778-4.56587973108e+15,3,Desktop,TRUE,en,FALSE,US,United States
2v8wSKWNRaW4Yn2dj,Footbridge,No,7621728d_1803646896188107,-1928670721-1.80364689619e+15,1,Desktop,FALSE,en,TRUE,US,United States
SZYRX6hmdNguTTcSE,Footbridge,No,7621728d_1803646896188107,-1275745345-1.80364689619e+15,2,Desktop,FALSE,en,FALSE,US,United States
T9Xa6TEL3CdSFR7bg,Switch,Yes,7621728d_1803646896188107,-1275745345-1.80364689619e+15,3,Desktop,TRUE,en,FALSE,US,United States
rbprRTHYdYfMCGEah,Switch,Yes,6f9512fa_8043423337509678,-657959975-8.04342333751e+15,1,Desktop,TRUE,en,TRUE,US,United States
dk2dkMd9K8BJTj2iq,Footbridge,Yes,6f9512fa_8043423337509678,-657959975-8.04342333751e+15,2,Desktop,TRUE,en,TRUE,US,United States
A5YWXfn3Rx44H6f2j,Switch,Yes,463adfcf_9519871522398086,279301041-9.5198715224e+15,2,Desktop,TRUE,es,TRUE,US,United States
kocBWn8S3FWke3kmN,Footbridge,Yes,7acc84d3_3400504689928272,802901182-3.40050468993e+15,1,Desktop,TRUE,en,TRUE,US,United States
gCmujcFHdZRmSqbSD,Footbridge,Yes,463adfcf_9519871522398086,279301041-9.5198715224e+15,3,Desktop,TRUE,es,TRUE,US,United States
o363JZckJwqJLSkXt,Switch,Yes,7acc84d3_3400504689928272,802901182-3.40050468993e+15,2,Desktop,TRUE,en,TRUE,US,United States
DfkZpTR2HCfJBWyKb,Footbridge,Yes,7621728d_1803646896188107,-1125512200-1.80364689619e+15,2,Desktop,FALSE,en,FALSE,US,United States
fd9cNka9rgBXtrNws,Switch,Yes,7621728d_1803646896188107,-1125512200-1.80364689619e+15,3,Desktop,FALSE,en,FALSE,US,United States
SxhfxvaMiT8Axaokh,Footbridge,Yes,7621728d_1803646896188107,1536996889-1.80364689619e+15,2,Desktop,FALSE,en,FALSE,US,United States
gRdabsBoT2W5iduv7,Switch,Yes,7621728d_1803646896188107,1536996889-1.80364689619e+15,3,Desktop,TRUE,en,FALSE,US,United States
AuXPKzWtNj3FA3a6W,Footbridge,Yes,b26566f2_7786815650761126,-1618293715-7.78681565076e+15,2,Desktop,TRUE,en,FALSE,US,United States
kp6GFPL5Wcunoi7C3,Switch,Yes,b26566f2_7786815650761126,-1618293715-7.78681565076e+15,3,Desktop,FALSE,en,FALSE,US,United States
PATsPEon6N8Cw675q,Footbridge,Yes,707856d8_9155460951369260,542293976-9.15546095137e+15,1,Desktop,TRUE,en,TRUE,US,United States
mcbQBDpmmhCtpX7TY,Switch,Yes,707856d8_9155460951369260,542293976-9.15546095137e+15,2,Desktop,TRUE,en,TRUE,US,United States
duXHnzDLmGwZbydzZ,Footbridge,No,2663a2c8_9760142097974842,1078998197-9.76014209797e+15,2,Desktop,FALSE,en,TRUE,US,United States
DRfnFnJPtH5pQYRBB,Switch,Yes,2663a2c8_9760142097974842,1078998197-9.76014209797e+15,3,Desktop,FALSE,en,TRUE,US,United States
yQzQRQ8suaPcm9iw7,Switch,Yes,1c39224d_4800728113763404,1998058505-4.80072811376e+15,1,Desktop,TRUE,en,TRUE,US,United States
uYq4PRouyHRTPijrn,Footbridge,Yes,1c39224d_4800728113763404,1998058505-4.80072811376e+15,2,Desktop,TRUE,en,TRUE,US,United States
pJReP9s8WHAa5gWvS,Footbridge,No,ad735153_6686335889560493,-1756927691-6.68633588956e+15,2,Desktop,FALSE,en,TRUE,US,United States
TgeYpKv2QhDND6PQK,Switch,No,ad735153_6686335889560493,-1756927691-6.68633588956e+15,3,Desktop,FALSE,en,TRUE,US,United States
Ws7XFAuEdcHHxDkhZ,Footbridge,Yes,2e4cf57c_9432001362340700,-1276864685-9.43200136234e+15,2,Desktop,TRUE,en,TRUE,US,United States
pdShHuA2izRgwtSSc,Switch,Yes,2e4cf57c_9432001362340700,-1276864685-9.43200136234e+15,3,Desktop,TRUE,en,TRUE,US,United States
f75PCQf4sCrAnqmpH,Footbridge,Yes,e484d2b1_3063597877820527,1673157645-3.06359787782e+15,1,Desktop,FALSE,en,TRUE,US,United States
6HhPLDs6oGKyJckF8,Switch,Yes,e484d2b1_3063597877820527,1673157645-3.06359787782e+15,2,Desktop,TRUE,en,TRUE,US,United States
