age,nationality,sex,guess
19,Belg,F,35
22,Belg,M,20
20,belg-spaanse,F,6
20,Belg,F,30
20,belg,F,28
19,Belg,F,35
18,Belg,F,4
19,belg,F,20
24,Nederlands,F,5
19,belg,F,45
19,Belg,F,9
21,Belg,F,5
28,Belg,F,3
25,Nederlandse,M,15
22,Nederlands,F,45
27,Nederlandse,F,20
21,Belg,F,36
19,Belg,F,45
19,belg,F,30
19,Belg,F,10
19,Belg,F,13
19,Belg,F,13
19,Belg,F,50
19,Belg,F,70
19,belg,F,30
19,Belg,F,55
19,Belg,F,16
19,belg,F,20
19,belg,F,30
22,Belg,M,15
19,Belg,F,30
18,Belg,F,58
19,Belg,F,20
19,Belg,F,20
19,belg,F,20
20,Belg,F,20
19,Belg,F,3
19,Belg,F,5
19,Belg,F,35
19,Belg,F,50
42,belg,F,15
20,Belg,F,10
20,Belg,F,45
31,Belg,F,5
19,Belg,F,5
19,Belg,F,55
19,Nederlands,F,6
19,Belg,F,50
20,Belg,M,30
19,belg,F,25
19,Belg,F,20
23,belg,F,10
31,Belg,M,3
20,belg,F,30
20,Belg/Nederlander,F,2
19,BELG,F,35
18,belg,F,40
19,belg,F,5
19,Belg,F,30
19,Belg,F,24
20,KAZ,M,30
21,Belg,F,7
22,Belg,F,70
19,belg,F,10
19,Belg,F,20
19,Belg,F,5
19,Belg,F,30
22,Belg,F,15
21,Belg,F,15
19,Belg,F,15
19,Belg,F,10
21,Nederlandse,F,40
19,Belg,F,30
22,Belg,F,48
22,Belg,F,30
21,Brits,M,7
19,Belg,F,8
19,Belg,F,11
19,belg,F,3
19,Belg,F,20
25,Nederlandse,F,40
19,Belg,F,20
20,Belg,F,30
20,Belg,F,63
19,belg,M,40
20,Nederlands,F,20
20,Belg,F,10
19,belg,F,5
20,Belg,F,5
29,Nederlands,F,30
24,belgisch,F,10
20,belg,F,50
19,Belg,F,20
24,belg,M,46
20,Belg,F,20
19,Belg,F,25
20,Vlaming,F,20
24,Belg,M,16
19,Belg,F,15
19,Belg,F,30
19,Belg,F,30
18,Belg,F,10
19,Belg,F,3
19,Belg,F,23
20,Belg,M,10
19,Belg,F,30
19,belg,F,35
21,Belg,M,55
19,Belg,F,8
19,belg,F,2
19,Belg,M,20
19,Belg,F,5
19,Belg,F,19
20,Belg,F,38
21,belg,F,12
19,Belg,F,35
21,Belg,F,65
19,Belg,F,30
22,belg,M,75
21,Belg,F,35
19,Belg,F,20
25,Belg,F,40
